layer_id,he_name,he_synonym,hebrew_family,seintific_name,red_number,iucn_category,protection_status
398,שלחופן עטוי,,פרפרניים,Tripodion vulneraria L.,5.3,CR,0
361,קחוון פלישתי,,מורכבים,Anthemis philistea Boiss.1875,3.7,VU,0
326,פרע מנוקב,,פרעיים,Hypericum perforatum L.,3.2,VU,0
123,דוחנן דק,,דגניים,Brachiaria eruciformis,3.2,VU,0
111,גרגרנית חד-פרחית,אספסת חד-פרחית,פרפרניים,Trigonella monatha,3.2,VU,0
101,גומא עין-גדי,גומא נאה,,Cyperus eleusinoides,,,
81,בן-חרצית נגבי,בן-חרצית גזור,מורכבים,Tanacetum negevensis,3.7,VU,0
281,נץ-חלב הרודיאני,,שושניים,Ornithogalum nutans sp.nova,5.3,CR,0
302,סתוונית הרמון,,שושניים,Colchicum ramonensis sp.nova,4.7,EN,0
228,לשון-אפעה קטנה,,לשון-האפעה,Ophioglossum lusitanicum L.,4.2,EN,1
227,לשון-אפעה מצרית,,לשון-האפעה,Ophioglossum polyphyllum A. Braun,4.2,EN,1
5,אברה ארוכת-עלים,,אברתיים,Pteris vittata,6.3,CR,1
6,אברנית הנשר,,חשפוניתיים,Pteridium aquilinum,5.3,CR,1
110,גפית הביצה,,גפיתיים,Thelypteris palustris,4.7,EN,1
113,גריזית נאה,,אספלניים,Phyllitis sagittata,,EX,1
49,אספלניון גלילי,,אספלניים,Asplenium trichomanes,3.2,VU,1
265,מרסיליה זעירה,,מרסיליים,Marsilea minuta L.,,EX,1
93,ברוש מצוי,,ברושיים,Cupressus sempervirens,3.2,VU,0
315,ערער ארזי,,ברושיים,Juniperus oxycedrus L.,4.2,VU,0
402,שרביטן מכונף,,שרביטניים, ,3.2,VU,0
320,פיקוס בת-שקמה,,תותיים,Ficus palmata Decne.,4.2,EN,1
301,סרפד החולה,,סרפדיים,Urtica kioviensis Rogow.,3.7,VU,0
59,ארכובית צמירה,,ארכוביתיים,Polygonum lanigerum,4.2,EN,0
58,ארכובית החוף,,ארכוביתיים,Polygonum maritimum,3.7,VU,0
374,ריבס המדבר,,ארכוביתיים,Rheum palaestinum Feinbrun,4.7,EN,1
165,חומעת האוירון,,ארכוביתיים,Rumex rothschildianum,6.3,CR,0
109,גפוף קוצני,,ארכובתיים,Atraphaxis spinosa L.,3.2,VU,0
74,בורהביה זוחלת,,לילניים,Boerhavia repens L.,3.2,VU,0
150,זליה מחומשת,,חייעדיים,Zaleya pentandra,,EX,0
9,אגרוסטמת השדות,,ציפורניים,Agrostemma githago,4.7,EN,0
337,ציפורנית גדולת-שיניים,,ציפורניים,Silene macrodonta Boiss.,5.3,CR,0
341,ציפורנית מצוייצת,,ציפורניים,Silene physalodes Boiss.,4.7,EN,0
340,ציפורנית חופית,,ציפורניים,Silene modesta Boiss. & Blanche,3.7,EN,0
338,ציפורנית זעירה,,ציפורניים,Silene sedoides Poir.,3.7,VU,0
342,ציפורנית שרונית,,ציפורניים,Silene papillosa Boiss.,6.8,CR,0
339,ציפורנית חדת-שיניים,,ציפורניים,Silene oxyodonta Barbey,3.2,VU,0
67,בולנתוס דק-גבעול,,ציפורניים,Bolanthus filicaulis,,,
174,חלוק זהרי,,ציפורניים,Petrorhagia zoharyana,3.2,VU,0
175,חלוק ערבי,,ציפורניים,Petrorhagia arabica,4.2,EN,0
336,ציפורן החודים,,ציפורניים,Dianthus cyri Fisch. & Mey.,,EX,0
96,גביעול מאוגד,,ציפורניים,Velezia fasciculata,6.8,CR,0
61,ארנריה נימית,,ציפורניים,Arenaria tremula,3.7,VU,0
68,בופונית הרמון,,ציפורניים,Bufonia ramonensis,5.3,CR,0
249,מנכיה עדינה,,ציפורניים,Moenchia erecta (L.) P.Gaertn.,3.2,VU,0
404,שרוכנית החוף,,ציפורניים,Corrigiola litoralis L.,3.7,VU,0
403,שרוכנית ארץ-ישראלית,,ציפורניים,Corrigiola palaestina Chaudh.,5.3,EN,0
41,אלמוות שיכני,,ציפורניים,Paronychia echinulata,4.7,EN,0
40,אלמוות ארץ-ישראלי,,ציפורניים,Paronychia palaestina,4.7,CR,0
379,שביט אתיופי,,ציפורניים,Cometes abyssinica R. Br.,3.7,VU,0
136,הלופפליס חובק,,סלקיים,Halopeplis amplexicaulis,,EX,0
285,סווד אצטרובלי,,סלקיים,Halocnemum strobilaceum (Pall.) M. Bieb.,,EX,0
405,שרשר רב-שנתי,בן-מלח רב-שנתי,סלקיים,Sarcocornia perennis (Mill.) Scott,4.2,EN,0
15,אוכם חד-ביתי,,סלקיים,Suaeda monoica,3.7,VU,0
16,אוכם חופי,,סלקיים,Suaeda splendens,3.7,VU,0
17,אוכם תולעני,,סלקיים,Suaeda vermiculata,3.7,VU,0
14,אוכם ארץ-ישראלי,,סלקיים,Suaeda palaestina,3.7,VU,0
176,חמד אייג,,סלקיים,Hammada ramosissima,,EX,0
246,מלחית הבורית,,סלקיים,Salsola soda L.,3.7,VU,0
87,בר-דורבן מזרחי,,נוריתיים,Consolida hispanica,3.7,VU,0
